131.202.240.150,15883,131.202.244.5,53,17,1,71,1,259,71,71,71,0,259,259,259,0,0,0,0,0,0,0,0,0,427,427,427,427,0,0,0,0,0,1,71,1,259,0,0,0,0,28,20,DNS
131.202.240.150,56746,131.202.244.3,53,17,1,82,1,274,82,82,82,0,274,274,274,0,0,0,0,0,0,0,0,0,427,427,427,427,0,0,0,0,0,1,82,1,274,0,0,0,0,28,20,DNS
131.202.240.150,31096,131.202.244.3,53,17,1,60,1,110,60,60,60,0,110,110,110,0,0,0,0,0,0,0,0,0,335,335,335,335,0,0,0,0,0,1,60,1,110,0,0,0,0,28,20,DNS
131.202.240.150,3232,131.202.244.5,53,17,1,65,1,241,65,65,65,0,241,241,241,0,0,0,0,0,0,0,0,0,365,365,365,365,0,0,0,0,0,1,65,1,241,0,0,0,0,28,20,DNS
131.202.240.150,56746,131.202.6.3,53,17,1,82,1,274,82,82,82,0,274,274,274,0,0,0,0,0,0,0,0,0,1282,1282,1282,1282,0,0,0,0,0,1,82,1,274,0,0,0,0,28,20,DNS
131.202.240.150,1117,131.202.244.5,53,17,1,57,1,238,57,57,57,0,238,238,238,0,0,0,0,0,0,0,0,0,305,305,305,305,0,0,0,0,0,1,57,1,238,0,0,0,0,28,20,DNS
131.202.240.150,23378,131.202.244.5,53,17,1,70,1,256,70,70,70,0,256,256,256,0,0,0,0,0,0,0,0,0,352,352,352,352,0,0,0,0,0,1,70,1,256,0,0,0,0,28,20,DNS
131.202.240.150,34141,131.202.244.5,53,17,1,82,1,274,82,82,82,0,274,274,274,0,0,0,0,0,0,0,0,0,432,432,432,432,0,0,0,0,0,1,82,1,274,0,0,0,0,28,20,DNS
131.202.240.150,43617,131.202.244.5,53,17,1,57,1,241,57,57,57,0,241,241,241,0,0,0,0,0,0,0,0,0,444,444,444,444,0,0,0,0,0,1,57,1,241,0,0,0,0,28,20,DNS
131.202.240.150,12459,131.202.244.3,53,17,1,60,1,110,60,60,60,0,110,110,110,0,0,0,0,0,0,0,0,0,335,335,335,335,0,0,0,0,0,1,60,1,110,0,0,0,0,28,20,DNS
131.202.240.150,33356,131.202.244.5,53,17,1,61,1,247,61,61,61,0,247,247,247,0,0,0,0,0,0,0,0,0,359,359,359,359,0,0,0,0,0,1,61,1,247,0,0,0,0,28,20,DNS
131.202.240.150,17263,131.202.244.3,53,17,1,50,1,125,50,50,50,0,125,125,125,0,0,0,0,0,0,0,0,0,224,224,224,224,0,0,0,0,0,1,50,1,125,0,0,0,0,28,20,DNS
131.202.240.150,22523,131.202.244.3,53,17,1,60,1,110,60,60,60,0,110,110,110,0,0,0,0,0,0,0,0,0,333,333,333,333,0,0,0,0,0,1,60,1,110,0,0,0,0,28,20,DNS
131.202.240.150,9674,131.202.244.3,53,17,1,50,1,125,50,50,50,0,125,125,125,0,0,0,0,0,0,0,0,0,274,274,274,274,0,0,0,0,0,1,50,1,125,0,0,0,0,28,20,DNS
131.202.240.150,44830,131.202.244.5,53,17,1,58,1,239,58,58,58,0,239,239,239,0,0,0,0,0,0,0,0,0,40394,40394,40394,40394,0,0,0,0,0,1,58,1,239,0,0,0,0,28,20,DNS
131.202.240.150,33080,131.202.244.5,53,17,1,59,1,263,59,59,59,0,263,263,263,0,0,0,0,0,0,0,0,0,434,434,434,434,0,0,0,0,0,1,59,1,263,0,0,0,0,28,20,DNS
131.202.240.150,61947,131.202.244.5,53,17,1,59,1,246,59,59,59,0,246,246,246,0,0,0,0,0,0,0,0,0,433,433,433,433,0,0,0,0,0,1,59,1,246,0,0,0,0,28,20,DNS
131.202.240.150,56746,131.202.244.5,53,17,1,82,1,274,82,82,82,0,274,274,274,0,0,0,0,0,0,0,0,0,413,413,413,413,0,0,0,0,0,1,82,1,274,0,0,0,0,28,20,DNS
131.202.240.150,12401,131.202.244.5,53,17,1,61,1,247,61,61,61,0,247,247,247,0,0,0,0,0,0,0,0,0,474,474,474,474,0,0,0,0,0,1,61,1,247,0,0,0,0,28,20,DNS
131.202.240.150,22136,131.202.244.5,53,17,1,60,1,276,60,60,60,0,276,276,276,0,0,0,0,0,0,0,0,0,413,413,413,413,0,0,0,0,0,1,60,1,276,0,0,0,0,28,20,DNS
131.202.240.150,57728,131.202.244.5,53,17,1,73,1,260,73,73,73,0,260,260,260,0,0,0,0,0,0,0,0,0,396,396,396,396,0,0,0,0,0,1,73,1,260,0,0,0,0,28,20,DNS
131.202.240.150,28882,131.202.244.5,53,17,1,59,1,263,59,59,59,0,263,263,263,0,0,0,0,0,0,0,0,0,357,357,357,357,0,0,0,0,0,1,59,1,263,0,0,0,0,28,20,DNS
